home_id,price,area,living_area,kitchen_area,number_of_rooms,status,furnishing_status,bathroom,floor,total_floors,built_year,address,with_makler,home_ad_link
1140,35000.0,54.0,35.0,8.0,2,new,furnished,shared,6,9,2016.0,Chirchiq,False,https://www.olx.uz/d/oz/obyavlenie/shikarnaya-2-komnatnaya-kvartira-na-kolce-8-m-n-ID3SBXn.html
1141,153400.0,114.0,91.2,22.8,3,new,unfurnished,shared,5,6,,Yunusobod,False,https://www.olx.uz/d/oz/obyavlenie/arzon-nrg-hayot-3kom-114m2-po-1345-u-e-telebashnya-centr-plova-ID423Kn.html
1142,72000.0,35.0,28.0,7.0,2,new,furnished,,5,8,,Yakkasaroy,False,https://www.olx.uz/d/oz/obyavlenie/royal-house-sotuvda-2-xonalik-uy-remont-shota-rustaveli-yakkasaroy-ID40sso.html
1143,17500.0,35.39,35.39,35.39,1,new,unfurnished,private,8,10,2024.0,Chirchiq,False,https://www.olx.uz/d/oz/obyavlenie/karvon-bozorda-yanqi-qurilgan-uylarda-1-2-xonalik-uylarimiz-bor-ID44lwQ.html
1144,80000.0,88.0,75.0,10.0,3,new,unfurnished,private,5,7,,Mirobod,False,https://www.olx.uz/d/oz/obyavlenie/3-xonali-kvartira-sotiladi-88-mkv-ID434fh.html
1145,1000.0,131.0,104.8,26.2,3,new,unfurnished,,5,10,,Olmazor,False,https://www.olx.uz/d/oz/obyavlenie/kvartira-srochna-sotiladi-131-m2-ID43cxk.html
1146,140000.0,107.0,85.6,21.4,3,new,unfurnished,,6,10,,Yunusobod,False,https://www.olx.uz/d/oz/obyavlenie/yunusobod-tumani-yangi-qurilish-muxtaham-turar-joy-majmuasi-3-6-10-ID41q3V.html
1147,523000000.0,79.0,75.0,12.0,3,new,unfurnished,private,6,9,,To'ytepa,False,https://www.olx.uz/d/oz/obyavlenie/kvartira-toshkent-joli-kochasida-rasssrochkaga-foizsiz-ID3RRvO.html
1148,185000.0,102.0,81.6,20.4,3,new,furnished,shared,5,10,,Yunusobod,False,https://www.olx.uz/d/oz/obyavlenie/kazakhstan-sotuvda-3-xonalik-uy-remont-c-6-minor-ID3SJAw.html
1149,35000.0,69.0,55.2,8.0,3,new,unfurnished,private,16,16,,Yashnobod,False,https://www.olx.uz/d/oz/obyavlenie/yashnabod-rayoni-olmos-maxallasi-3-16-16-sotiladi-ID3vd8d.html
1150,70000.0,81.0,64.8,16.2,3,new,furnished,private,7,7,2019.0,Sirg‘ali,False,https://www.olx.uz/d/oz/obyavlenie/yangihayot-kvartira-sotiladi-3-7-7-srochno-ID3Ojsy.html
1151,52000.0,53.0,40.0,10.0,2,new,furnished,shared,6,16,2020.0,Sirg‘ali,False,https://www.olx.uz/d/oz/obyavlenie/sergili-yangi-hayot-10-hudud-53kv-ID3Rovd.html
1152,330000.0,153.0,122.4,30.6,4,new,furnished,,7,10,,Yunusobod,False,https://www.olx.uz/d/oz/obyavlenie/muhtasham-sotuvda-4-xonalik-uy-remont-oloy-bozori-minor-metro-ID3Zpk8.html
1153,550000.0,221.0,176.8,44.2,5,new,unfurnished,,5,8,,Mirobod,False,https://www.olx.uz/d/oz/obyavlenie/gabus-sotuvda-5-xonalik-kvartira-moshtabib-kochasi-ID434K4.html
